date,time,open,close,low,high,volume
2026-07-03,09:00,1530000,1531000,1518000,1541000,50075
2026-07-03,09:01,1530000,1503000,1501000,1534000,18215
2026-07-03,09:02,1503000,1481000,1481000,1509000,12413
2026-07-03,09:03,1482000,1490000,1473000,1490000,12620
2026-07-03,09:04,1489000,1487000,1482000,1493000,8137
2026-07-03,09:05,1486000,1479000,1478000,1488000,4873
2026-07-03,09:06,1479000,1491000,1475000,1498000,6579
2026-07-03,09:07,1491000,1487000,1486000,1497000,4619
2026-07-03,09:08,1487000,1480000,1477000,1487000,2820
2026-07-03,09:09,1481000,1465000,1465000,1510000,5117
2026-07-03,09:10,1465000,1471000,1460000,1472000,5931
2026-07-03,09:11,1469000,1483000,1469000,1487000,3359
2026-07-03,09:12,1484000,1477000,1471000,1484000,2657
2026-07-03,09:13,1477000,1499000,1477000,1500000,5210
2026-07-03,09:14,1499000,1500000,1494000,1504000,4456
2026-07-03,09:15,1500000,1484000,1483000,1500000,2341
2026-07-03,09:16,1483000,1478000,1473000,1488000,2820
2026-07-03,09:17,1479000,1479000,1477000,1488000,2577
2026-07-03,09:18,1479000,1465000,1464000,1479000,2927
2026-07-03,09:19,1465000,1470000,1463000,1472000,3406
2026-07-03,09:20,1470000,1468000,1465000,1473000,3396
2026-07-03,09:21,1469000,1466000,1464000,1478000,2624
2026-07-03,09:22,1466000,1458000,1458000,1472000,4484
2026-07-03,09:23,1459000,1455000,1455000,1460000,3296
2026-07-03,09:24,1456000,1451000,1450000,1459000,2649
2026-07-03,09:25,1450000,1447000,1446000,1455000,4911
2026-07-03,09:26,1448000,1447000,1444000,1451000,4802
2026-07-03,09:27,1446000,1447000,1441000,1451000,4486
2026-07-03,09:28,1446000,1444000,1442000,1451000,3468
2026-07-03,09:29,1444000,1436000,1436000,1445500,4451
2026-07-03,09:30,1437000,1426000,1426000,1438000,4549
2026-07-03,09:31,1427000,1438000,1424000,1438000,7119
2026-07-03,09:32,1438000,1425000,1425000,1439000,3146
2026-07-03,09:33,1426000,1424000,1420000,1427000,3433
2026-07-03,09:34,1424000,1414000,1413000,1424000,5633
2026-07-03,09:35,1414000,1438000,1414000,1438000,7372
2026-07-03,09:36,1437000,1455000,1437000,1455000,6315
2026-07-03,09:37,1455000,1460000,1449000,1461000,4712
2026-07-03,09:38,1461000,1459000,1458000,1471000,4778
2026-07-03,09:39,1460000,1455000,1451000,1465000,5693
2026-07-03,09:40,1455000,1441000,1437000,1457000,2474
2026-07-03,09:41,1442000,1443000,1438000,1448000,3923
2026-07-03,09:42,1442000,1437000,1432000,1444000,3221
2026-07-03,09:43,1438000,1429000,1429000,1438000,3684
2026-07-03,09:44,1429000,1427000,1426000,1437000,4152
2026-07-03,09:45,1429000,1422000,1421000,1430000,2347
2026-07-03,09:46,1421000,1433000,1419000,1434000,3267
2026-07-03,09:47,1433000,1432000,1425000,1437000,4310
2026-07-03,09:48,1433000,1428000,1428000,1442000,2383
2026-07-03,09:49,1427000,1430000,1427000,1435000,2182
2026-07-03,09:50,1429000,1431000,1429000,1436000,2464
2026-07-03,09:51,1432000,1428000,1426000,1432000,2712
2026-07-03,09:52,1430000,1427000,1423000,1430000,4764
2026-07-03,09:53,1427000,1421000,1420000,1431000,2746
2026-07-03,09:54,1422000,1418000,1416000,1425000,3610
2026-07-03,09:55,1418000,1415000,1415000,1422000,2607
2026-07-03,09:56,1415000,1413000,1410000,1416000,3885
2026-07-03,09:57,1413000,1410000,1409000,1419000,2662
2026-07-03,09:58,1410000,1407000,1407000,1415000,3151
2026-07-03,09:59,1407000,1410000,1407000,1418000,5420
2026-07-03,10:00,1410000,1418000,1410000,1421000,3521
2026-07-03,10:01,1419000,1419000,1413000,1422000,3593
2026-07-03,10:02,1419000,1432000,1416000,1433000,4432
2026-07-03,10:03,1432000,1442000,1432000,1445000,4199
2026-07-03,10:04,1443000,1447000,1440000,1447000,4056
2026-07-03,10:05,1447000,1448000,1440000,1451000,4933
2026-07-03,10:06,1448000,1451000,1442000,1453000,6499
2026-07-03,10:07,1451000,1457000,1450000,1460000,3466
2026-07-03,10:08,1459000,1456000,1455000,1460000,4254
2026-07-03,10:09,1456000,1461000,1451000,1465500,6265
2026-07-03,10:10,1460000,1457000,1453000,1462000,3155
2026-07-03,10:11,1456000,1459000,1454000,1460000,1930
2026-07-03,10:12,1459000,1450000,1450000,1461000,2448
2026-07-03,10:13,1451000,1457000,1446000,1459000,3156
2026-07-03,10:14,1457000,1465000,1457000,1466000,3222
