date,time,tf,signal,price,detail,context
2026-07-02,09:48,1분,바닥 반등,163530,"하단터치 09:43 → 복귀 %b 0.30 · RSI 41.4↑(저점 28.8) · 거래량 2.0× · 다이버전스","갭 -10.7% · 당일 -3.9% · 저점比 +1.1% · VWAP 아래 -1.7% · 일봉추세 -0.72"
2026-07-02,09:49,1분,반등 지속(직후 양봉),164690,"1차(09:48) 직후 양봉 지속 · 몸통 1.7×",""
2026-07-02,09:52,1분,골든크로스(반등 확인),165735,"MA5 164,593 > MA20 164,576 돌파 · 1차(09:48) 후 4분 · +1.35%","갭 -10.7% · 당일 -2.6% · 저점比 +2.4% · VWAP 아래 -0.3% · 일봉추세 -0.72"
2026-07-02,09:54,1분,진입 적기(추세 지속),166830,"✅ 확인(09:52) 후 2분 종가 유지 · +0.66% — 추세 지속 확인","갭 -10.7% · 당일 -2.0% · 저점比 +3.1% · VWAP 위 +0.3% · 일봉추세 -0.72"
2026-07-02,11:27,1분,바닥 반등,177625,"하단터치 11:22 → 복귀 %b 0.20 · RSI 39.2↑(저점 33.8) · 거래량 1.8×","갭 -10.7% · 당일 +4.4% · 저점比 +9.8% · VWAP 위 +4.1% · 일봉추세 -0.72"
2026-07-02,11:27,3분,바닥 반등,177625,"하단터치 11:22 → 복귀 %b 0.20 · RSI 39.2↑(저점 33.8) · 거래량 1.6×","갭 -10.7% · 당일 +4.4% · 저점比 +9.8% · VWAP 위 +4.1% · 일봉추세 -0.72"
2026-07-02,11:38,1분,골든크로스(약·모멘텀 부족),177480,"MA5 177,738 > MA20 177,657 돌파 · 1차(11:27) 후 11분 · -0.08% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +4.3% · 저점比 +9.7% · VWAP 위 +3.9% · 일봉추세 -0.72"
2026-07-02,11:38,3분,골든크로스(약·모멘텀 부족),177480,"MA5 177,738 > MA20 177,657 돌파 · 1차(11:27) 후 11분 · -0.08% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +4.3% · 저점比 +9.7% · VWAP 위 +3.9% · 일봉추세 -0.72"
2026-07-02,11:55,1분,바닥 반등,176760,"하단터치 11:50 → 복귀 %b 0.42 · RSI 47.2↑(저점 30.3) · 거래량 2.2×","갭 -10.7% · 당일 +3.8% · 저점比 +9.2% · VWAP 위 +3.4% · 일봉추세 -0.72"
2026-07-02,11:56,1분,반등 지속(직후 양봉),177225,"1차(11:55) 직후 양봉 지속 · 몸통 1.0×",""
2026-07-02,11:59,1분,골든크로스(약·모멘텀 부족),177760,"MA5 177,495 > MA20 177,083 돌파 · 1차(11:55) 후 4분 · +0.57% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +4.4% · 저점比 +9.9% · VWAP 위 +4.0% · 일봉추세 -0.72"
2026-07-02,12:10,1분,바닥 반등,175700,"하단터치 12:09 → 복귀 %b 0.28 · RSI 40.6↑(저점 32.5) · 거래량 2.2×","갭 -10.7% · 당일 +3.2% · 저점比 +8.6% · VWAP 위 +2.7% · 일봉추세 -0.72"
2026-07-02,12:11,1분,반등 지속(직후 양봉),175720,"1차(12:10) 직후 양봉 지속 · 몸통 0.0×",""
2026-07-02,12:27,1분,바닥 반등,173405,"하단터치 12:22 → 복귀 %b 0.16 · RSI 32.1↑(저점 25.6) · 거래량 2.1×","갭 -10.7% · 당일 +1.9% · 저점比 +7.2% · VWAP 위 +1.3% · 일봉추세 -0.72"
2026-07-02,12:27,3분,바닥 반등,173405,"하단터치 12:22 → 복귀 %b 0.16 · RSI 32.1↑(저점 25.6) · 거래량 1.8×","갭 -10.7% · 당일 +1.9% · 저점比 +7.2% · VWAP 위 +1.3% · 일봉추세 -0.72"
2026-07-02,12:27,5분,바닥 반등,173405,"하단터치 12:22 → 복귀 %b 0.16 · RSI 32.1↑(저점 25.6) · 거래량 1.7×","갭 -10.7% · 당일 +1.9% · 저점比 +7.2% · VWAP 위 +1.3% · 일봉추세 -0.72"
2026-07-02,12:28,1분,반등 지속(직후 양봉),173650,"1차(12:27) 직후 양봉 지속 · 몸통 0.7×",""
2026-07-02,12:37,1분,골든크로스(약·모멘텀 부족),174180,"MA5 174,115 > MA20 173,874 돌파 · 1차(12:27) 후 10분 · +0.45% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +2.3% · 저점比 +7.7% · VWAP 위 +1.7% · 일봉추세 -0.72"
2026-07-02,12:37,3분,골든크로스(약·모멘텀 부족),174180,"MA5 174,115 > MA20 173,874 돌파 · 1차(12:27) 후 10분 · +0.45% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +2.3% · 저점比 +7.7% · VWAP 위 +1.7% · 일봉추세 -0.72"
2026-07-02,12:37,5분,골든크로스(약·모멘텀 부족),174180,"MA5 174,115 > MA20 173,874 돌파 · 1차(12:27) 후 10분 · +0.45% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +2.3% · 저점比 +7.7% · VWAP 위 +1.7% · 일봉추세 -0.72"
2026-07-02,13:18,1분,바닥 반등,169580,"하단터치 13:14 → 복귀 %b 0.16 · RSI 34.9↑(저점 31.6) · 거래량 1.8× · 다이버전스","갭 -10.7% · 당일 -0.4% · 저점比 +4.8% · VWAP 아래 -1.0% · 일봉추세 -0.72"
2026-07-02,13:21,3분,바닥 반등,169115,"하단터치 13:16 → 복귀 %b 0.17 · RSI 33.8↑(저점 30.2) · 거래량 1.9×","갭 -10.7% · 당일 -0.6% · 저점比 +4.5% · VWAP 아래 -1.2% · 일봉추세 -0.72"
2026-07-02,13:24,10분,바닥 반등,169595,"하단터치 13:21 → 복귀 %b 0.38 · RSI 42.7↑(저점 30.6) · 거래량 1.5×","갭 -10.7% · 당일 -0.4% · 저점比 +4.8% · VWAP 아래 -0.9% · 일봉추세 -0.72"
2026-07-02,13:25,15분,바닥 반등,171035,"하단터치 13:21 → 복귀 %b 0.77 · RSI 55.3↑(저점 30.6) · 거래량 1.5×","갭 -10.7% · 당일 +0.5% · 저점比 +5.7% · VWAP 아래 -0.1% · 일봉추세 -0.72"
2026-07-02,13:27,1분,골든크로스(반등 확인),171630,"MA5 170,385 > MA20 170,010 돌파 · 1차(13:18) 후 9분 · +1.21%","갭 -10.7% · 당일 +0.8% · 저점比 +6.1% · VWAP 위 +0.3% · 일봉추세 -0.72"
2026-07-02,13:27,3분,골든크로스(반등 확인),171630,"MA5 170,385 > MA20 170,010 돌파 · 1차(13:21) 후 6분 · +1.49%","갭 -10.7% · 당일 +0.8% · 저점比 +6.1% · VWAP 위 +0.3% · 일봉추세 -0.72"
2026-07-02,13:27,10분,골든크로스(반등 확인),171630,"MA5 170,385 > MA20 170,010 돌파 · 1차(13:24) 후 3분 · +1.20%","갭 -10.7% · 당일 +0.8% · 저점比 +6.1% · VWAP 위 +0.3% · 일봉추세 -0.72"
2026-07-02,13:27,15분,골든크로스(약·모멘텀 부족),171630,"MA5 170,385 > MA20 170,010 돌파 · 1차(13:25) 후 2분 · +0.35% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 -10.7% · 당일 +0.8% · 저점比 +6.1% · VWAP 위 +0.3% · 일봉추세 -0.72"
2026-07-02,13:41,1분,바닥 반등,167750,"하단터치 13:40 → 복귀 %b 0.15 · RSI 35.1↑(저점 34.3) · 거래량 1.6× · 다이버전스","갭 -10.7% · 당일 -1.4% · 저점比 +3.7% · VWAP 아래 -2.0% · 일봉추세 -0.72"
2026-07-02,13:42,1분,반등 지속(직후 양봉),168405,"1차(13:41) 직후 양봉 지속 · 몸통 1.3×",""
2026-07-02,13:51,1분,골든크로스(반등 확인),170295,"MA5 168,718 > MA20 168,541 돌파 · 1차(13:41) 후 10분 · +1.52%","갭 -10.7% · 당일 +0.0% · 저점比 +5.3% · VWAP 아래 -0.4% · 일봉추세 -0.72"
