date,time,open,close,low,high,volume
2026-06-23,09:00,27820,27665,27570,27820,359200
2026-06-23,09:01,27665,27510,27500,27905,689367
2026-06-23,09:02,27510,27585,27400,27725,668566
2026-06-23,09:03,27585,27825,27565,27865,605259
2026-06-23,09:04,27820,28095,27815,28215,529358
2026-06-23,09:05,28100,28035,27880,28135,501678
2026-06-23,09:06,28030,27670,27650,28060,496339
2026-06-23,09:07,27695,27905,27695,27970,515151
2026-06-23,09:08,27890,27985,27880,28040,251135
2026-06-23,09:09,28005,27965,27935,28170,365354
2026-06-23,09:10,27960,28115,27945,28210,277097
2026-06-23,09:11,28125,27950,27940,28260,397524
2026-06-23,09:12,27955,28025,27790,28085,618430
2026-06-23,09:13,28025,27905,27900,28150,406902
2026-06-23,09:14,27910,27720,27700,27930,382965
2026-06-23,09:15,27720,28025,27720,28025,576467
2026-06-23,09:16,28017,27655,27635,28025,387186
2026-06-23,09:17,27655,27670,27545,27730,528775
2026-06-23,09:18,27665,27660,27500,27720,702414
2026-06-23,09:19,27655,27560,27550,27700,309135
2026-06-23,09:20,27565,27400,27395,27575,579399
2026-06-23,09:21,27395,27260,27210,27520,741943
2026-06-23,09:22,27260,27065,26970,27320,866089
2026-06-23,09:23,27080,26865,26845,27185,585462
2026-06-23,09:24,26850,26265,26157,26910,952041
2026-06-23,09:25,26255,26245,25800,26460,1810896
2026-06-23,09:26,26245,26265,25995,26510,1109540
2026-06-23,09:27,26265,26010,25960,26420,1053903
2026-06-23,09:28,26030,26280,25825,26295,484630
2026-06-23,09:29,26280,26500,26190,26520,435016
2026-06-23,09:30,26515,26365,26155,26565,1299278
2026-06-23,09:31,26360,26665,26345,26710,624762
2026-06-23,09:32,26670,26815,26655,26830,455141
2026-06-23,09:33,26815,26780,26620,26880,597071
2026-06-23,09:34,26780,26705,26550,26785,445703
2026-06-23,09:35,26700,26435,26435,26760,333033
2026-06-23,09:36,26460,26345,26330,26470,304974
2026-06-23,09:37,26360,26300,26210,26380,307154
2026-06-23,09:38,26300,26630,26245,26630,352936
2026-06-23,09:39,26630,26655,26435,26680,912690
2026-06-23,09:40,26660,26860,26615,26900,427784
2026-06-23,09:41,26865,26825,26620,26865,437894
2026-06-23,09:42,26825,26880,26755,26905,356185
2026-06-23,09:43,26890,27005,26830,27020,333624
2026-06-23,09:44,27005,27120,26995,27140,493443
2026-06-23,09:45,27135,27255,27105,27265,292464
2026-06-23,09:46,27240,27030,27015,27280,594060
2026-06-23,09:47,27025,27075,26910,27110,244727
2026-06-23,09:48,27085,27150,27065,27215,315828
2026-06-23,09:49,27145,27155,27045,27185,216979
2026-06-23,09:50,27145,26975,26940,27180,307168
2026-06-23,09:51,26970,26810,26710,27120,410419
2026-06-23,09:52,26810,26830,26695,26865,287457
2026-06-23,09:53,26825,26775,26750,26875,157745
2026-06-23,09:54,26775,26695,26655,26915,254753
2026-06-23,09:55,26695,26595,26570,26715,286215
2026-06-23,09:56,26595,26470,26340,26595,307354
2026-06-23,09:57,26450,26705,26400,26715,314808
2026-06-23,09:58,26705,26620,26585,26750,243697
2026-06-23,09:59,26620,26620,26500,26685,200257
2026-06-23,10:00,26605,26475,26435,26740,340573
2026-06-23,10:01,26480,26510,26430,26550,136122
2026-06-23,10:02,26515,26535,26500,26665,220698
2026-06-23,10:03,26530,26785,26495,26835,259895
2026-06-23,10:04,26775,26665,26585,26795,224043
2026-06-23,10:05,26670,26655,26585,26765,134433
2026-06-23,10:06,26645,26455,26445,26645,245431
2026-06-23,10:07,26470,26510,26435,26535,106748
2026-06-23,10:08,26515,26655,26515,26750,338380
2026-06-23,10:09,26670,26755,26590,26770,204173
2026-06-23,10:10,26755,26835,26700,26860,241201
2026-06-23,10:11,26850,26905,26825,26965,323970
