date,time,open,close,low,high,volume
2026-06-15,09:00,2283000,2291000,2281000,2296000,136720
2026-06-15,09:01,2292000,2272000,2265000,2292000,42149
2026-06-15,09:02,2272000,2273000,2272000,2282000,30774
2026-06-15,09:03,2273000,2273000,2267000,2277000,31623
2026-06-15,09:04,2273000,2287000,2272000,2289000,26574
2026-06-15,09:05,2288000,2290000,2286000,2293000,42738
2026-06-15,09:06,2291000,2279500,2277000,2291000,15170
2026-06-15,09:07,2280000,2279000,2271000,2280000,22211
2026-06-15,09:08,2279000,2277000,2276000,2285000,14233
2026-06-15,09:09,2278000,2284000,2277000,2285000,18013
2026-06-15,09:10,2284000,2291000,2283000,2293000,26541
2026-06-15,09:11,2291000,2297000,2291000,2304000,60656
2026-06-15,09:12,2297000,2300000,2297000,2304000,41184
2026-06-15,09:13,2300000,2299000,2296000,2303000,25771
2026-06-15,09:14,2299000,2298000,2292000,2300000,22016
2026-06-15,09:15,2299000,2289000,2287000,2299000,18808
2026-06-15,09:16,2289000,2294000,2287000,2295000,16327
2026-06-15,09:17,2295000,2298000,2293000,2299000,14855
2026-06-15,09:18,2299000,2292000,2290000,2299000,12365
2026-06-15,09:19,2293000,2293000,2291000,2297000,13368
2026-06-15,09:20,2293500,2296500,2293000,2298000,11836
2026-06-15,09:21,2296500,2298000,2296000,2301000,21797
2026-06-15,09:22,2298000,2299000,2298000,2300000,10148
2026-06-15,09:23,2299000,2308000,2298000,2308000,42186
2026-06-15,09:24,2308000,2310000,2307000,2311000,21503
2026-06-15,09:25,2311000,2312000,2310000,2312000,15374
2026-06-15,09:26,2311000,2309000,2309000,2315000,42642
2026-06-15,09:27,2309000,2309000,2305000,2311000,12914
2026-06-15,09:28,2309000,2308000,2308000,2311000,11001
2026-06-15,09:29,2308000,2313000,2305000,2313000,16658
2026-06-15,09:30,2312000,2309000,2306000,2314000,16464
2026-06-15,09:31,2309500,2317000,2309000,2318000,23491
