date,time,open,close,low,high,volume
2026-07-07,09:00,13205,13105,13045,13205,396182
2026-07-07,09:01,13090,13265,13020,13285,313933
2026-07-07,09:02,13265,13400,13260,13410,403792
2026-07-07,09:03,13400,13490,13380,13530,384599
2026-07-07,09:04,13480,13490,13420,13550,242113
2026-07-07,09:05,13430,13355,13330,13450,256868
2026-07-07,09:06,13355,13520,13350,13545,200616
2026-07-07,09:07,13530,13400,13385,13530,136289
2026-07-07,09:08,13415,13615,13405,13645,167616
2026-07-07,09:09,13615,13630,13540,13635,197776
2026-07-07,09:10,13630,13750,13625,13755,227219
2026-07-07,09:11,13750,13790,13735,13875,406808
2026-07-07,09:12,13790,13750,13735,13870,234578
2026-07-07,09:13,13750,13800,13725,13810,125301
2026-07-07,09:14,13800,13910,13780,13915,287793
2026-07-07,09:15,13910,13845,13760,13915,259613
2026-07-07,09:16,13845,13890,13800,13930,138270
2026-07-07,09:17,13890,13750,13735,13890,147413
2026-07-07,09:18,13760,13690,13690,13815,102159
2026-07-07,09:19,13695,13610,13565,13710,227820
2026-07-07,09:20,13605,13570,13535,13640,205680
2026-07-07,09:21,13560,13530,13505,13580,124359
2026-07-07,09:22,13530,13540,13525,13625,166313
2026-07-07,09:23,13555,13645,13550,13660,167555
2026-07-07,09:24,13660,13735,13625,13760,122061
2026-07-07,09:25,13740,13670,13665,13800,95282
2026-07-07,09:26,13670,13665,13625,13685,60079
2026-07-07,09:27,13680,13770,13675,13780,59405
2026-07-07,09:28,13770,13820,13765,13835,107334
2026-07-07,09:29,13820,13810,13805,13865,69113
2026-07-07,09:30,13815,13755,13700,13830,81510
2026-07-07,09:31,13755,13725,13660,13805,56896
2026-07-07,09:32,13720,13765,13670,13790,27046
2026-07-07,09:33,13770,13810,13725,13825,43203
2026-07-07,09:34,13810,13840,13800,13860,84856
2026-07-07,09:35,13855,13865,13785,13880,59396
2026-07-07,09:36,13872,13835,13830,13890,34058
2026-07-07,09:37,13855,13950,13845,13950,307188
2026-07-07,09:38,13950,13970,13910,13980,92877
2026-07-07,09:39,13970,13960,13905,13975,101668
2026-07-07,09:40,13960,13990,13955,14020,114404
2026-07-07,09:41,14000,14055,14000,14070,145808
2026-07-07,09:42,14055,13945,13930,14055,146337
2026-07-07,09:43,13960,13930,13920,14005,106892
2026-07-07,09:44,13920,13970,13920,13995,72068
2026-07-07,09:45,13975,14000,13935,14020,155239
