date,time,open,close,low,high,volume
2026-07-06,09:00,12200,12660,12170,12680,179097
2026-07-06,09:01,12660,12595,12520,12770,217506
2026-07-06,09:02,12595,12515,12500,12830,186174
2026-07-06,09:03,12535,12325,12325,12560,175456
2026-07-06,09:04,12330,12140,12105,12335,104966
2026-07-06,09:05,12145,12265,12135,12305,131668
2026-07-06,09:06,12260,12070,12060,12275,87125
2026-07-06,09:07,12055,11975,11900,12075,152906
2026-07-06,09:08,12000,12045,11900,12075,135752
2026-07-06,09:09,12065,12020,11975,12090,42667
2026-07-06,09:10,12020,12170,12020,12205,91946
2026-07-06,09:11,12160,12075,12010,12160,62540
2026-07-06,09:12,12080,12080,12070,12195,50040
2026-07-06,09:13,12095,12015,11950,12115,87652
2026-07-06,09:14,11985,11910,11905,12040,98912
2026-07-06,09:15,11900,11790,11745,11910,96405
2026-07-06,09:16,11790,11815,11770,11840,51986
2026-07-06,09:17,11820,11895,11785,11910,40077
2026-07-06,09:18,11895,11850,11780,11950,59423
2026-07-06,09:19,11860,11940,11860,11960,62917
2026-07-06,09:20,11955,11900,11875,12065,91465
2026-07-06,09:21,11905,11910,11885,11985,44219
2026-07-06,09:22,11895,12050,11885,12075,38505
2026-07-06,09:23,12050,12185,11960,12185,70264
2026-07-06,09:24,12175,12170,12155,12195,80525
2026-07-06,09:25,12155,12385,12135,12385,113699
2026-07-06,09:26,12385,12365,12300,12385,99317
2026-07-06,09:27,12345,12460,12260,12465,111216
2026-07-06,09:28,12460,12345,12330,12555,181412
2026-07-06,09:29,12355,12460,12320,12460,91808
2026-07-06,09:30,12465,12275,12250,12510,95950
2026-07-06,09:31,12270,12190,12135,12315,113042
2026-07-06,09:32,12200,12190,12125,12230,74536
2026-07-06,09:33,12195,12230,12180,12285,42492
2026-07-06,09:34,12230,12100,12080,12250,78825
2026-07-06,09:35,12080,12175,12050,12195,66596
2026-07-06,09:36,12180,12025,12000,12205,63907
2026-07-06,09:37,12015,12005,12005,12075,32583
2026-07-06,09:38,12015,12055,12000,12075,34861
2026-07-06,09:39,12065,12030,12010,12065,72459
2026-07-06,09:40,12030,11935,11905,12050,52437
2026-07-06,09:41,11935,12015,11930,12050,92194
2026-07-06,09:42,12035,12000,11995,12045,21275
2026-07-06,09:43,12015,11955,11925,12015,29495
2026-07-06,09:44,11955,11980,11950,12000,67328
2026-07-06,09:45,11975,11875,11830,11975,73840
